City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Bubaque,GW,2021-03-02 05:11:09,11.2833,-15.8333,77.4,56,15,13.09
193,Kaitangata,NZ,2021-03-02 05:11:09,-46.2817,169.8464,68.0,85,71,1.01
194,Ciudad Bolivar,VE,2021-03-02 05:11:10,8.1222,-63.5497,74.62,71,46,12.46
195,Chippewa Falls,US,2021-03-02 05:11:10,44.9369,-91.3929,17.6,53,90,6.91
196,Grand Gaube,MU,2021-03-02 05:11:10,-20.0064,57.6608,84.0,63,0,7.0
197,The Pas,CA,2021-03-02 05:11:11,53.8251,-101.2541,8.6,78,90,10.36
198,Muli,MV,2021-03-02 05:11:11,2.9167,73.5667,82.47,68,3,11.18
199,Waddan,LY,2021-03-02 05:08:26,29.1614,16.139,49.06,83,0,5.73
200,Asau,RO,2021-03-02 05:11:12,46.4333,26.4,30.99,65,19,4.25
201,Lavrentiya,RU,2021-03-02 05:11:12,65.5833,-171.0,-19.43,89,100,13.44
202,Antofagasta,CL,2021-03-02 05:11:12,-23.65,-70.4,66.2,77,0,3.44
203,Poum,NC,2021-03-02 05:11:12,-20.2333,164.0167,81.81,68,100,8.57
204,Kutum,SD,2021-03-02 05:11:13,14.2,24.6667,53.17,21,19,8.72
205,Flin Flon,CA,2021-03-02 05:11:13,54.7682,-101.865,17.17,96,100,0.69
206,Ixtapa,MX,2021-03-02 05:11:13,20.7,-105.2,70.0,94,1,2.68
207,Raudeberg,NO,2021-03-02 05:11:14,61.9875,5.1352,45.0,96,100,16.13
208,Leh,IN,2021-03-02 05:11:14,34.1667,77.5833,15.49,69,0,2.51
209,Daru,PG,2021-03-02 05:11:14,-9.0763,143.2092,88.75,63,37,13.02
210,Dehloran,IR,2021-03-02 05:11:15,32.6941,47.2679,60.44,53,0,3.91
211,Ler,SS,2021-03-02 05:11:15,8.3018,30.1418,74.57,18,0,7.92
212,Caravelas,BR,2021-03-02 05:11:15,-17.7125,-39.2481,75.09,86,10,5.35
213,Siderno,IT,2021-03-02 05:11:16,38.2779,16.302,52.0,81,15,5.75
214,Maine-Soroa,NE,2021-03-02 05:11:16,13.2114,12.0241,72.0,20,25,14.32
215,Salalah,OM,2021-03-02 05:11:16,17.0151,54.0924,77.0,69,0,2.3
216,Chuy,UY,2021-03-02 05:11:16,-33.6971,-53.4616,70.75,93,19,7.11
217,Naze,JP,2021-03-02 05:11:17,28.3667,129.4833,60.8,88,75,14.97
218,Thompson,CA,2021-03-02 05:11:17,55.7435,-97.8558,1.4,85,90,2.3
219,Padang,ID,2021-03-02 05:11:17,-0.9492,100.3543,82.4,89,40,2.3
220,Coihaique,CL,2021-03-02 05:11:18,-45.5752,-72.0662,49.5,78,81,1.54
221,Clyde River,CA,2021-03-02 05:11:18,70.4692,-68.5914,-14.8,76,40,6.91
222,Novaya Igirma,RU,2021-03-02 05:11:18,57.1334,103.9112,-1.84,87,100,3.69
223,Thongwa,MM,2021-03-02 05:07:16,16.7619,96.5278,86.0,54,0,2.3
224,Dingle,PH,2021-03-02 05:11:19,10.9995,122.6711,86.07,67,89,12.01
225,Cayenne,GF,2021-03-02 05:11:19,4.9333,-52.3333,73.4,100,90,1.14
226,Manicore,BR,2021-03-02 05:11:20,-5.8092,-61.3003,72.64,99,100,1.14
227,Somerset,US,2021-03-02 05:11:20,40.5668,-74.5496,32.0,37,1,17.27
228,Metsavan,AM,2021-03-02 05:11:20,41.2016,44.2288,21.2,79,40,2.01
229,Los Llanos De Aridane,ES,2021-03-02 05:11:20,28.6585,-17.9182,62.6,59,20,9.22
230,Tilichiki,RU,2021-03-02 05:11:21,60.4667,166.1,-8.41,89,74,6.08
231,Podporozhye,RU,2021-03-02 05:11:21,60.9112,34.1706,27.61,90,78,10.16
232,Eureka,US,2021-03-02 05:11:21,40.8021,-124.1637,44.01,91,48,4.63
233,Allapalli,IN,2021-03-02 05:11:22,19.4167,80.0667,100.13,14,0,0.74
234,Cherskiy,RU,2021-03-02 05:11:22,68.75,161.3,-28.1,84,53,4.52
235,Vardo,NO,2021-03-02 05:11:23,70.3705,31.1107,24.8,86,20,26.46
236,Nhulunbuy,AU,2021-03-02 05:11:23,-12.2333,136.7667,91.4,58,0,12.66
237,Marfino,RU,2021-03-02 05:11:23,55.7028,37.3822,37.99,81,90,13.42
238,Hirara,JP,2021-03-02 05:07:02,24.8,125.2833,66.2,82,75,19.57
239,Port Hardy,CA,2021-03-02 05:11:24,50.6996,-127.4199,39.2,93,75,4.61
240,Klaksvik,FO,2021-03-02 05:11:24,62.2266,-6.589,42.8,100,75,2.3
241,Mecca,SA,2021-03-02 05:09:03,21.4267,39.8261,68.7,36,4,5.19
242,Karasjok,NO,2021-03-02 05:11:25,69.4719,25.5112,26.6,63,20,18.41
243,Vermilion,US,2021-03-02 05:11:25,40.1667,-87.7506,26.6,80,1,8.05
244,Waingapu,ID,2021-03-02 05:11:26,-9.6567,120.2641,84.88,73,15,9.42
245,Koupela,BF,2021-03-02 05:11:26,12.1794,-0.3517,76.55,16,45,12.68
246,Santa Rosa,PH,2021-03-02 05:11:26,14.3122,121.1114,91.0,70,40,4.61
247,Sola,VU,2021-03-02 05:11:27,-13.8833,167.55,81.93,82,83,16.46
248,Hofn,IS,2021-03-02 05:11:27,64.2539,-15.2082,40.8,66,42,4.16
249,Auki,SB,2021-03-02 05:11:27,-8.7676,160.7034,83.16,76,99,7.49
250,Pevek,RU,2021-03-02 05:11:28,69.7008,170.3133,-26.43,86,1,2.42
251,Puerto Baquerizo Moreno,EC,2021-03-02 05:11:28,-0.9,-89.6,78.48,87,32,2.84
252,Nagato,JP,2021-03-02 05:11:29,34.3833,131.2,54.0,71,75,11.5
253,Brownsville,US,2021-03-02 05:11:29,25.9018,-97.4975,55.4,88,90,14.97
254,Codrington,AU,2021-03-02 05:11:29,-38.2667,141.9667,61.18,48,23,13.44
255,Kalaleh,IR,2021-03-02 05:11:30,37.3807,55.4916,46.4,87,90,1.97
256,Santa Maria,BR,2021-03-02 05:11:30,-29.6842,-53.8069,68.23,95,1,5.03
257,Nuuk,GL,2021-03-02 05:11:31,64.1835,-51.7216,21.2,45,75,4.61
258,Zhuhai,CN,2021-03-02 05:11:31,22.2769,113.5678,72.0,60,0,18.41
259,Xining,CN,2021-03-02 05:11:32,36.6167,101.7667,38.89,56,100,2.59
260,Kahului,US,2021-03-02 05:08:12,20.8947,-156.47,73.4,60,40,14.97
261,Bambous Virieux,MU,2021-03-02 05:11:32,-20.3428,57.7575,84.2,65,40,11.5
262,Yongan,CN,2021-03-02 05:11:32,39.6957,113.6871,43.41,49,0,15.35
263,Huari,PE,2021-03-02 05:11:33,-9.3333,-77.2333,43.61,83,100,1.81
264,Kentau,KZ,2021-03-02 05:11:33,43.5206,68.5094,41.14,65,0,6.06
265,Barcelona,ES,2021-03-02 05:08:37,41.3888,2.159,55.0,82,20,14.97
266,Loei,TH,2021-03-02 05:11:34,17.4167,101.5,95.0,51,0,5.75
267,Chegdomyn,RU,2021-03-02 05:11:34,51.1167,133.0167,0.07,82,41,1.92
268,Manacapuru,BR,2021-03-02 05:11:34,-3.2997,-60.6206,75.2,100,75,2.3
269,Torres,BR,2021-03-02 05:11:34,-29.3353,-49.7269,70.68,93,93,5.57
270,Dubbo,AU,2021-03-02 05:11:35,-32.25,148.6167,82.4,20,4,12.66
271,Rostov,RU,2021-03-02 05:11:35,57.1914,39.4139,35.6,80,75,13.42
272,Kasumigaura,JP,2021-03-02 05:11:35,36.152,140.2361,68.0,82,75,13.8
273,Necochea,AR,2021-03-02 05:11:36,-38.5473,-58.7368,69.01,91,8,4.0
274,Kununurra,AU,2021-03-02 05:11:36,-15.7667,128.7333,96.8,27,31,6.91
275,Fairbanks,US,2021-03-02 05:06:57,64.8378,-147.7164,3.99,85,90,3.09
276,Pasighat,IN,2021-03-02 05:07:02,28.0667,95.3333,84.81,27,73,2.21
277,Berlevag,NO,2021-03-02 05:11:37,70.8578,29.0864,29.37,91,100,32.06
278,Tabas,IR,2021-03-02 05:11:37,33.5959,56.9244,57.33,54,40,1.43
279,Kruisfontein,ZA,2021-03-02 05:11:37,-34.0033,24.7314,73.0,79,71,6.87
280,Mar Del Plata,AR,2021-03-02 05:08:33,-38.0023,-57.5575,70.0,94,0,4.61
281,Nazilli,TR,2021-03-02 05:11:38,37.9163,28.3223,33.8,86,0,4.7
282,Anadyr,RU,2021-03-02 05:11:38,64.75,177.4833,-9.0,70,0,11.18
283,Iqaluit,CA,2021-03-02 05:11:39,63.7506,-68.5145,5.0,85,90,8.05
284,Nipawin,CA,2021-03-02 05:11:39,53.3668,-104.0009,17.6,93,90,6.91
285,Bathsheba,BB,2021-03-02 05:11:40,13.2167,-59.5167,75.2,64,20,17.27
286,Komsomolskiy,UZ,2021-03-02 05:11:40,40.4272,71.7189,44.6,45,100,4.61
287,Rorvik,NO,2021-03-02 05:11:40,64.8621,11.2373,41.0,70,75,10.36
288,La Roche-Sur-Yon,FR,2021-03-02 05:11:40,46.6667,-1.4333,48.2,76,0,6.91
289,Havoysund,NO,2021-03-02 05:11:41,70.9963,24.6622,30.2,74,90,20.71
290,Dole,FR,2021-03-02 05:11:41,47.0833,5.5,39.0,100,9,5.75
291,Alice Springs,AU,2021-03-02 05:11:41,-23.7,133.8833,104.0,10,0,17.27
292,Pinotepa Nacional,MX,2021-03-02 05:11:42,16.3167,-98.0167,68.77,85,8,1.99
293,Kimbe,PG,2021-03-02 05:11:42,-5.5502,150.1429,78.39,91,100,7.31
294,Bongandanga,CD,2021-03-02 05:11:42,1.5,21.05,71.19,45,99,1.1
