City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
220,Margate,GB,51.3813,1.3862,37.99,71,0,2.17,clear sky
221,Brantford,CA,43.1334,-80.2664,32.0,40,20,6.91,few clouds
222,Charleston,US,32.7766,-79.9309,57.99,19,1,16.11,clear sky
223,Berlevag,NO,70.8578,29.0864,19.4,79,75,11.5,snow
224,Yeppoon,AU,-23.1333,150.7333,75.2,83,34,8.93,scattered clouds
225,Tampere,FI,61.4991,23.7871,23.0,73,90,11.5,light snow
226,Codrington,AU,-38.2667,141.9667,57.38,92,100,8.9,overcast clouds
227,Hailey,US,43.5196,-114.3153,39.2,52,1,6.91,clear sky
228,Batticaloa,LK,7.7102,81.6924,79.63,83,56,5.64,broken clouds
229,Crewe,GB,53.0979,-2.4416,37.99,70,23,3.89,few clouds
230,Simbahan,PH,6.3032,120.5836,81.41,79,100,14.65,overcast clouds
231,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,40,5.75,scattered clouds
232,Qusar,AZ,41.4273,48.4289,26.44,92,66,2.91,broken clouds
233,Male,MV,4.1748,73.5089,82.4,78,20,3.44,few clouds
234,Katsuura,JP,35.1333,140.3,44.01,93,75,9.22,broken clouds
235,Tasiilaq,GL,65.6145,-37.6368,33.8,100,75,42.57,snow
236,Etchojoa,MX,26.9167,-109.6333,84.99,32,74,11.48,broken clouds
237,San Patricio,US,28.017,-97.5169,70.0,37,40,19.57,scattered clouds
238,Gravdal,NO,68.1214,13.5031,28.4,80,75,2.3,broken clouds
239,Ilulissat,GL,69.2167,-51.1,19.4,68,90,13.8,overcast clouds
240,Tecoanapa,MX,16.5167,-98.75,84.51,56,0,11.48,clear sky
241,Ajdabiya,LY,30.7554,20.2263,62.58,60,0,6.13,clear sky
242,Borovichi,RU,58.3878,33.9155,19.6,96,100,10.65,light snow
243,Puerto Cabezas,NI,14.0351,-83.3888,84.2,79,40,9.22,scattered clouds
244,Bengkulu,ID,-3.8004,102.2655,74.8,83,95,4.21,light rain
245,Carballo,ES,43.213,-8.691,44.6,70,0,3.44,clear sky
246,Padang,ID,-0.9492,100.3543,73.4,94,40,2.3,scattered clouds
247,Pevek,RU,69.7008,170.3133,-20.52,84,100,12.1,overcast clouds
248,Lebu,CL,-37.6167,-73.65,65.1,81,56,13.67,broken clouds
249,Svetlogorsk,BY,52.6333,29.7333,30.42,98,100,9.62,snow
250,Khatanga,RU,71.9667,102.5,-28.98,85,87,7.9,overcast clouds
251,Hambantota,LK,6.1241,81.1185,78.48,84,87,11.14,overcast clouds
252,Coihaique,CL,-45.5752,-72.0662,53.6,47,75,9.22,broken clouds
253,Pisco,PE,-13.7,-76.2167,78.8,65,40,24.16,scattered clouds
254,Springbok,ZA,-29.6643,17.8865,60.58,71,0,3.38,clear sky
255,Roma,US,43.2128,-75.4557,28.0,43,1,13.8,clear sky
256,Yalvac,TR,38.2956,31.1778,36.39,82,50,3.56,scattered clouds
257,Qaqortoq,GL,60.7167,-46.0333,30.2,86,75,6.91,light snow
258,Lancut,PL,50.0687,22.2291,36.0,75,90,12.66,overcast clouds
259,Bozoum,CF,6.3193,16.3799,72.95,21,31,1.16,scattered clouds
260,Mazatlan,MX,23.2167,-106.4167,78.8,50,1,11.5,clear sky
261,Escanaba,US,45.7453,-87.0646,30.99,80,75,13.8,broken clouds
262,Kurilsk,RU,45.2333,147.8833,21.47,90,98,12.88,overcast clouds
263,Babaeski,TR,41.4325,27.0931,33.71,88,29,6.44,scattered clouds
264,Fillan,NO,63.6064,8.9696,32.0,93,20,12.66,few clouds
265,Hachinohe,JP,40.5,141.5,34.0,54,0,5.99,clear sky
266,Cockburn Town,TC,21.4612,-71.1419,82.4,61,20,4.61,few clouds
267,Surt,LY,31.2089,16.5887,61.3,81,0,17.96,clear sky
268,Razgrad,BG,43.5333,26.5167,37.0,65,0,4.18,clear sky
269,Mahebourg,MU,-20.4081,57.7,77.0,88,40,5.75,scattered clouds
270,Esperance,AU,-33.8667,121.9,62.6,88,75,3.44,broken clouds
271,Broken Hill,AU,-31.95,141.4333,73.4,33,90,8.05,overcast clouds
272,Tupancireta,BR,-29.0806,-53.8358,74.66,61,0,4.94,clear sky
273,Acarau,BR,-2.8856,-40.12,80.8,79,96,12.93,heavy intensity rain
274,Guanica,PR,17.9716,-66.908,84.0,72,0,5.01,clear sky
275,Vostok,RU,46.4856,135.8833,3.92,95,100,3.96,overcast clouds
276,Jumla,NP,29.2747,82.1838,43.34,62,95,3.78,overcast clouds
277,Hasaki,JP,35.7333,140.8333,41.0,93,75,8.05,light rain
278,Murray Bridge,AU,-35.1167,139.2667,59.0,95,28,1.01,scattered clouds
279,Havoysund,NO,70.9963,24.6622,26.6,86,75,10.36,light snow
280,Komsomolskiy,UZ,40.4272,71.7189,42.8,75,57,4.61,broken clouds
281,Westport,US,41.1415,-73.3579,41.0,30,1,11.5,clear sky
282,Sabang,ID,5.8933,95.3214,81.77,76,75,7.47,broken clouds
283,Livingston,GB,55.9029,-3.5226,45.0,87,75,9.22,broken clouds
284,Redwater,US,33.3582,-94.2544,66.2,26,1,10.36,clear sky
285,Scarborough,GB,54.2797,-0.4044,37.99,86,99,4.23,overcast clouds
286,Tuatapere,NZ,-46.1333,167.6833,55.0,66,89,10.0,overcast clouds
287,Chapais,CA,49.7834,-74.8492,12.2,57,75,4.61,broken clouds
288,Asyut,EG,27.181,31.1837,62.6,55,0,10.36,clear sky
289,Kabinda,CD,-6.1333,24.4833,63.95,96,100,2.95,overcast clouds
290,Resistencia,AR,-27.4606,-58.9839,91.0,35,0,6.91,clear sky
291,Natal,BR,-5.795,-35.2094,82.4,74,20,10.36,few clouds
292,Victoria,HK,22.2855,114.1577,66.0,92,92,1.99,overcast clouds
293,Atar,MR,20.5169,-13.0499,68.65,25,0,10.71,clear sky
294,Ambanja,MG,-13.6833,48.45,74.55,94,100,2.33,heavy intensity rain
295,Goderich,CA,43.7501,-81.7165,24.8,63,13,5.75,few clouds
296,Bathsheba,BB,13.2167,-59.5167,80.6,61,40,23.02,scattered clouds
297,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.2,74,20,6.91,few clouds
298,Homer,US,59.6425,-151.5483,28.0,74,1,8.05,clear sky
299,Palmer,US,42.1584,-72.3287,37.4,28,1,12.66,clear sky
300,Mayskiy,RU,47.6931,40.1025,28.4,86,0,17.9,clear sky
301,Poum,NC,-20.2333,164.0167,77.47,73,1,9.06,clear sky
302,Mehamn,NO,71.0357,27.8492,19.4,79,0,8.05,clear sky
303,Trinidad,BO,-14.8333,-64.9,91.4,55,40,4.61,scattered clouds
304,Ciudad Guayana,VE,8.3533,-62.6528,88.0,68,81,5.01,broken clouds
305,Faro,PT,37.0194,-7.9322,55.4,82,0,11.5,clear sky
306,Peterlee,GB,54.7603,-1.3365,42.01,86,97,4.83,overcast clouds
307,Ozinki,RU,51.1786,49.6769,21.07,95,100,21.34,overcast clouds
308,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,73.29,75,17,8.59,few clouds
309,Bomet,KE,-0.7813,35.3416,60.42,67,89,1.97,overcast clouds
310,Hervey Bay,AU,-25.2986,152.8535,80.01,67,79,4.0,broken clouds
311,Estevan,CA,49.1334,-102.9842,50.0,43,1,13.8,clear sky
312,Satuba,BR,-9.5633,-35.8244,80.6,78,0,6.91,clear sky
313,Evensk,RU,61.95,159.2333,-26.05,72,0,7.11,clear sky
314,Fort Nelson,CA,58.8053,-122.7002,26.6,54,20,10.36,few clouds
315,Hofn,IS,64.2539,-15.2082,37.98,75,88,6.87,overcast clouds
316,Matara,LK,5.9485,80.5353,76.14,89,82,7.85,broken clouds
317,Saint George,US,37.1041,-113.5841,69.8,16,1,4.61,clear sky
318,Eyl,SO,7.9803,49.8164,74.39,82,0,12.75,clear sky
319,Abbeville,FR,50.1,1.8333,32.0,82,0,6.22,clear sky
320,Ondjiva,AO,-17.0667,15.7333,73.35,53,40,6.64,scattered clouds
321,Hamilton,US,39.1834,-84.5333,50.0,18,1,6.91,clear sky
322,Mareeba,AU,-17.0,145.4333,75.99,94,25,3.67,scattered clouds
323,Sayyan,YE,15.1718,44.3244,54.28,40,0,3.94,clear sky
324,Kencong,ID,-8.2833,113.3667,74.62,86,100,3.18,overcast clouds
325,Imbituba,BR,-28.24,-48.6703,77.0,78,75,10.36,broken clouds
326,Orange Cove,US,36.6244,-119.3137,60.8,48,1,4.61,clear sky
327,Den Helder,NL,52.9599,4.7593,41.0,75,90,9.22,overcast clouds
328,Pokhara,NP,28.2333,83.9833,60.98,33,0,5.12,clear sky
329,Champerico,GT,14.3,-91.9167,89.6,55,75,13.8,broken clouds
330,Saldanha,ZA,-33.0117,17.9442,60.8,72,28,4.61,scattered clouds
331,Lodeynoye Pole,RU,60.726,33.5531,16.72,94,100,11.86,overcast clouds
332,Dingle,PH,10.9995,122.6711,73.67,90,99,7.99,overcast clouds
333,Ballina,AU,-28.8667,153.5667,73.4,83,78,8.05,broken clouds
334,Gimli,CA,50.6336,-96.9907,39.2,81,94,8.05,overcast clouds
335,Thompson,CA,55.7435,-97.8558,42.8,56,40,16.11,scattered clouds
336,Walvis Bay,NA,-22.9575,14.5053,64.4,72,0,8.05,clear sky
337,Lake City,US,30.1897,-82.6393,66.2,27,1,6.91,clear sky
338,Tandalti,SD,13.0167,31.8667,78.66,16,8,9.78,clear sky
339,Konstantinovka,RU,49.6167,127.9833,4.46,91,0,5.91,clear sky
340,Turan,VN,16.0678,108.2208,75.2,94,40,1.14,scattered clouds
341,Kahului,US,20.8947,-156.47,80.6,54,40,20.71,scattered clouds
342,Gat,IL,31.61,34.7642,55.0,100,0,1.83,clear sky
343,Charters Towers,AU,-20.1,146.2667,70.61,88,40,9.06,scattered clouds
344,Prescott,US,34.54,-112.4685,66.99,14,1,4.61,clear sky
345,Krasnoarmeysk,RU,51.0239,45.6969,28.0,76,100,10.0,overcast clouds
346,Bonavista,CA,48.6499,-53.1147,30.99,69,27,10.36,scattered clouds
347,Altay,CN,47.8667,88.1167,25.12,78,99,3.83,overcast clouds
348,Port Macquarie,AU,-31.4333,152.9167,70.0,99,30,7.4,scattered clouds
