City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
544,Acajutla,SV,93.2,scattered clouds,13.5928,-89.8275,asi es
546,Rocha,UY,74.46,clear sky,-34.4833,-54.3333,Beleza Pura B&B
547,Cabo San Lucas,MX,80.01,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
548,Pandamatenga,BW,65.34,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
549,Isiolo,KE,71.11,clear sky,0.3546,37.5822,Gaddisa Hotel
552,Shenzhen,CN,66.99,scattered clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
554,Saint-Louis,SN,84.2,clear sky,16.3333,-15.0,
555,Mont-Dore,NC,79.0,broken clouds,-22.2833,166.5833,GIte
557,Ambilobe,MG,74.86,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
559,Show Low,US,63.0,overcast clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
560,Angoche,MZ,76.87,broken clouds,-16.2325,39.9086,Guest House HESADA
561,Campeche,MX,87.01,clear sky,19.0,-90.5,
562,Sokoni,TZ,80.22,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
563,Victor Harbor,AU,64.0,broken clouds,-35.5667,138.6167,McCracken Country Club
565,Luau,AO,64.65,moderate rain,-10.7073,22.2247,Casa- Bernardo Cândido
566,Kericho,KE,82.4,clear sky,-0.3677,35.2831,Taidy's Kericho
568,Kontagora,NG,81.81,clear sky,10.3999,5.4695,Queens Guest Inn
569,Bandarbeyla,SO,75.58,clear sky,9.4942,50.8122,JABIR HOTEL
571,Ifakara,TZ,73.08,overcast clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
576,Lawrence,US,69.8,clear sky,38.9717,-95.2353,SpringHill Suites by Marriott Lawrence Downtown
579,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
581,Mwense,ZM,66.9,moderate rain,-10.3845,28.698,Mwense Council Guest House
582,Vangaindrano,MG,73.06,scattered clouds,-23.35,47.6,Hotel Fanilo
583,Mecca,SA,75.27,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
